date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:27	1683/1683	---MCZ	200	added ('OK')	text/html	etag:W/%22664e071a-693%22	https://www.appsaudeebemestar.com/t	C:/Users/FSOS/Downloads/low%20prostt/prostt%20low/www.appsaudeebemestar.com/t.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:55:27	1683/1683	---MCZ	200	added ('OK')	text/html	etag:W/%22664e071a-693%22	https://www.appsaudeebemestar.com/signals/config/	C:/Users/FSOS/Downloads/low%20prostt/prostt%20low/www.appsaudeebemestar.com/signals/config/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:55:28	1683/1683	---MCZ	200	added ('OK')	text/html	etag:W/%22664e071a-693%22	https://www.appsaudeebemestar.com/e	C:/Users/FSOS/Downloads/low%20prostt/prostt%20low/www.appsaudeebemestar.com/e.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:55:28	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Dec%202025%2017:55:28%20GMT	https://www.appsaudeebemestar.com/t.resolvedLink	C:/Users/FSOS/Downloads/low%20prostt/prostt%20low/www.appsaudeebemestar.com/t.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
14:55:28	1683/1683	---MCZ	200	added ('OK')	text/html	etag:W/%22664e071a-693%22	https://www.appsaudeebemestar.com/signals/plugins/	C:/Users/FSOS/Downloads/low%20prostt/prostt%20low/www.appsaudeebemestar.com/signals/plugins/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:55:28	1683/1683	---MCZ	200	added ('OK')	text/html	etag:W/%22664e071a-693%22	https://www.appsaudeebemestar.com/schema.org/	C:/Users/FSOS/Downloads/low%20prostt/prostt%20low/www.appsaudeebemestar.com/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:55:29	1683/1683	---MCZ	200	added ('OK')	text/html	etag:W/%22664e071a-693%22	https://www.appsaudeebemestar.com/o	C:/Users/FSOS/Downloads/low%20prostt/prostt%20low/www.appsaudeebemestar.com/o.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:55:29	1683/1683	---MCZ	200	added ('OK')	text/html	etag:W/%22664e071a-693%22	https://www.appsaudeebemestar.com/	C:/Users/FSOS/Downloads/low%20prostt/prostt%20low/www.appsaudeebemestar.com/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:55:29	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Dec%202025%2017:55:29%20GMT	https://www.appsaudeebemestar.com/signals/iwl.js	C:/Users/FSOS/Downloads/low%20prostt/prostt%20low/www.appsaudeebemestar.com/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
14:55:29	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Dec%202025%2017:55:29%20GMT	https://www.appsaudeebemestar.com/signals/iwl.js?pixel_id=	C:/Users/FSOS/Downloads/low%20prostt/prostt%20low/www.appsaudeebemestar.com/signals/iwl0fc5.js	(from https://connect.facebook.net/en_US/fbevents.js)
14:55:30	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Dec%202025%2017:55:29%20GMT	https://www.appsaudeebemestar.com/r.dl	C:/Users/FSOS/Downloads/low%20prostt/prostt%20low/www.appsaudeebemestar.com/r.dl	(from https://connect.facebook.net/en_US/fbevents.js)
14:55:30	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Dec%202025%2017:55:30%20GMT	https://www.appsaudeebemestar.com/r.rl	C:/Users/FSOS/Downloads/low%20prostt/prostt%20low/www.appsaudeebemestar.com/r.rl	(from https://connect.facebook.net/en_US/fbevents.js)
